oomp_id,part_number_distributor_orbital_fasteners,part_number_manufacturer_metalmate,distributor_current,quantity_current,project_bolt_tray_capacity_oobb_4_width_2_5_length_18_mm_depth,project_bolt_tray_capacity_oobb_4_width_2_5_length_18_mm_depth_weight,project_bolt_tray_capacity_oobb_2_5_width_2_length_18_mm_depth,weight,weight_10,price_1_distributor_orbital_fasteners,price_100_distributor_orbital_fasteners,price_200_distributor_orbital_fasteners,price_1000_distributor_orbital_fasteners,price_10000_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,webpage_manufacturer_metalmate,name_manufacturer_metalmate,box_size_manufacturer_metalmate,box_of_box_size_manufacturer_metalmate,commonity_code,barcode_manufacturer_metalmate,price_1,price_100,price_200,price_1000,price_10000,price_current
hardware_screw_countersunk_m3_black_6_mm_length_hex_head,1901000,1151M390006,orbital_fasteners,200,150,53.7,75,0.358,3.58,0.0351,0.0351,0.0195,0.0175,0.0156,https://www.orbitalfasteners.co.uk/products/m3-x-6-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,https://www.harclob2b.com/m3-x-6-socket-csk-screw-gr10-9-self-colour-din-799-1151m390006,M3 X 6 SOCKET CSK SCREW GR10.9 SELF COLOUR DIN 7991 (165),200,4800,7318156890,5050420056212,0.0351,0.0351,0.0195,0.0175,0.0156,0.0195
hardware_screw_countersunk_m3_black_8_mm_length_hex_head,1901010,1151M390008,orbital_fasteners,200,120,53.4,60,0.445,4.45,0.0356,0.0356,0.0198,0.0178,0.0158,https://www.orbitalfasteners.co.uk/products/m3-x-8-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,https://www.harclob2b.com/m3-x-8-socket-csk-screw-gr10-9-self-colour-din-799-1151m390008,M3 X 8 SOCKET CSK SCREW GR10.9 SELF COLOUR DIN 7991 (165),200,4800,7318156890,5050420056229,0.0356,0.0356,0.0198,0.0178,0.0158,0.0198
hardware_screw_countersunk_m3_black_10_mm_length_hex_head,1901020,1151M390010,orbital_fasteners,200,110,57.64,55,0.524,5.24,0.0367,0.0367,0.0204,0.0183,0.0163,https://www.orbitalfasteners.co.uk/products/m3-x-10-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,https://www.harclob2b.com/m3-x-10-socket-csk-screw-gr10-9-self-colour-din-79-1151m390010,M3 X 10 SOCKET CSK SCREW GR10.9 SELF COLOUR DIN 7991 (165),200,4800,7318156890,5050420056236,0.0367,0.0367,0.0204,0.0183,0.0163,0.0204
hardware_screw_countersunk_m3_black_12_mm_length_hex_head,1901030,1151M390012,orbital_fasteners,200,90,54.72,45,0.608,6.08,0.0378,0.0378,0.0210,0.0189,0.0168,https://www.orbitalfasteners.co.uk/products/m3-x-12-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,https://www.harclob2b.com/m3-x-12-socket-csk-screw-gr10-9-self-colour-din-79-1151m390012,M3 X 12 SOCKET CSK SCREW GR10.9 SELF COLOUR DIN 7991 (165),200,4800,7318156890,5050420056243,0.0378,0.0378,0.0210,0.0189,0.0168,0.0210
hardware_screw_countersunk_m3_black_16_mm_length_hex_head,1901040,1151M390016,orbital_fasteners,200,70,48.16,35,0.688,6.88,0.0448,0.0448,0.0249,0.0224,0.0199,https://www.orbitalfasteners.co.uk/products/m3-x-16-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,,,,,,,0.0448,0.0448,0.0249,0.0224,0.0199,0.0249
hardware_screw_countersunk_m3_black_20_mm_length_hex_head,1901050,1151M390020,orbital_fasteners,200,50,48.25,25,0.965,9.65,0.0518,0.0518,0.0288,0.0259,0.0230,https://www.orbitalfasteners.co.uk/products/m3-x-20-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,https://www.harclob2b.com/m3-x-20-socket-csk-screw-gr10-9-self-colour-din-79-1151m390020,M3 X 20 SOCKET CSK SCREW GR10.9 SELF COLOUR DIN 7991 (165),200,4800,7318156890,5050420920254,0.0518,0.0518,0.0288,0.0259,0.0230,0.0288
hardware_screw_countersunk_m3_black_25_mm_length_hex_head,1901051,1151M390025,orbital_fasteners,200,40,47.84,20,1.196,11.96,0.0529,0.0529,0.0294,0.0265,0.0235,https://www.orbitalfasteners.co.uk/products/m3-x-25-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,https://www.harclob2b.com/m3-x-25-socket-csk-screw-gr10-9-self-colour-din-79-1151m390025,M3 X 25 SOCKET CSK SCREW GR10.9 SELF COLOUR DIN 7991 (165),200,4800,7318156890,5050420056281,0.0529,0.0529,0.0294,0.0265,0.0235,0.0294
hardware_screw_countersunk_m3_black_30_mm_length_hex_head,1901052,1151M390030,orbital_fasteners,200,,,,,,0.0604,0.0604,0.0336,0.0302,0.0268,https://www.orbitalfasteners.co.uk/products/m3-x-30-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,,,,,,,0.0604,0.0604,0.0336,0.0302,0.0268,0.0336
hardware_screw_countersunk_m3_black_35_mm_length_hex_head,1901054,1151M390035,orbital_fasteners,200,,,,,,0.1453,0.1453,0.0807,0.0726,0.0645,https://www.orbitalfasteners.co.uk/products/m3-x-35-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,,,,,,,0.1453,0.1453,0.0807,0.0726,0.0645,0.0807
hardware_screw_socket_cap_m3_black_4_mm_length_hex_head,,1150M390004,orbital_fasteners,200,,,,,,,,,,,,https://www.harclob2b.com/m3-x-4-socket-cap-screw-gr12-9-self-colour-din-912-1150m390004,M3 X 4 SOCKET CAP SCREW GR12.9 SELF COLOUR DIN 912 (195),200,4800,7318156890,5050420918725,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
