id,short_code,name,classification,type,size,color,description_main,description_extra,manufacturer,part_number
hardware_aluminium_extrusion_2020_grey,,Hardware Aluminium Extrusion 2020 Grey,hardware,aluminium_extrusion,2020,grey,,,,
hardware_aluminium_extrusion_2020_grey_890_mm_length,,Hardware Aluminium Extrusion 2020 Grey 890 mm Length,hardware,aluminium_extrusion,2020,grey,890_mm_length,,,
hardware_bearing_16000_series_16001_size_12_mm_id_28_mm_od_7_mm_depth,,Hardware Bearing 16000 Series 16001 Size 12 mm ID 28 mm OD 7 mm Depth,hardware,bearing,16000_series,16001_size,12_mm_id_28_mm_od_7_mm_depth,,,
hardware_bearing_16000_series_16002_size_15_mm_id_32_mm_od_8_mm_depth,,Hardware Bearing 16000 Series 16002 Size 15 mm ID 32 mm OD 8 mm Depth,hardware,bearing,16000_series,16002_size,15_mm_id_32_mm_od_8_mm_depth,,,
hardware_bearing_16000_series_16003_size_17_mm_id_35_mm_od_8_mm_depth,,Hardware Bearing 16000 Series 16003 Size 17 mm ID 35 mm OD 8 mm Depth,hardware,bearing,16000_series,16003_size,17_mm_id_35_mm_od_8_mm_depth,,,
hardware_bearing_16000_series_16004_size_20_mm_id_42_mm_od_8_mm_depth,,Hardware Bearing 16000 Series 16004 Size 20 mm ID 42 mm OD 8 mm Depth,hardware,bearing,16000_series,16004_size,20_mm_id_42_mm_od_8_mm_depth,,,
hardware_bearing_16000_series_16005_size_25_mm_id_47_mm_od_8_mm_depth,,Hardware Bearing 16000 Series 16005 Size 25 mm ID 47 mm OD 8 mm Depth,hardware,bearing,16000_series,16005_size,25_mm_id_47_mm_od_8_mm_depth,,,
hardware_bearing_16000_series_16006_size_30_mm_id_55_mm_od_9_mm_depth,,Hardware Bearing 16000 Series 16006 Size 30 mm ID 55 mm OD 9 mm Depth,hardware,bearing,16000_series,16006_size,30_mm_id_55_mm_od_9_mm_depth,,,
hardware_bearing_16000_series_16007_size_35_mm_id_62_mm_od_9_mm_depth,,Hardware Bearing 16000 Series 16007 Size 35 mm ID 62 mm OD 9 mm Depth,hardware,bearing,16000_series,16007_size,35_mm_id_62_mm_od_9_mm_depth,,,
hardware_bearing_16000_series_16008_size_40_mm_id_68_mm_od_9_mm_depth,,Hardware Bearing 16000 Series 16008 Size 40 mm ID 68 mm OD 9 mm Depth,hardware,bearing,16000_series,16008_size,40_mm_id_68_mm_od_9_mm_depth,,,
hardware_bearing_16000_series_16009_size_45_mm_id_75_mm_od_10_mm_depth,,Hardware Bearing 16000 Series 16009 Size 45 mm ID 75 mm OD 10 mm Depth,hardware,bearing,16000_series,16009_size,45_mm_id_75_mm_od_10_mm_depth,,,
hardware_bearing_16000_series_16010_size_50_mm_id_80_mm_od_10_mm_depth,,Hardware Bearing 16000 Series 16010 Size 50 mm ID 80 mm OD 10 mm Depth,hardware,bearing,16000_series,16010_size,50_mm_id_80_mm_od_10_mm_depth,,,
hardware_bearing_16000_series_16011_size_55_mm_id_90_mm_od_11_mm_depth,,Hardware Bearing 16000 Series 16011 Size 55 mm ID 90 mm OD 11 mm Depth,hardware,bearing,16000_series,16011_size,55_mm_id_90_mm_od_11_mm_depth,,,
hardware_bearing_16000_series_16012_size_60_mm_id_95_mm_od_11_mm_depth,,Hardware Bearing 16000 Series 16012 Size 60 mm ID 95 mm OD 11 mm Depth,hardware,bearing,16000_series,16012_size,60_mm_id_95_mm_od_11_mm_depth,,,
hardware_bearing_16000_series_16013_size_65_mm_id_100_mm_od_11_mm_depth,,Hardware Bearing 16000 Series 16013 Size 65 mm ID 100 mm OD 11 mm Depth,hardware,bearing,16000_series,16013_size,65_mm_id_100_mm_od_11_mm_depth,,,
hardware_bearing_16000_series_16014_size_70_mm_id_110_mm_od_13_mm_depth,,Hardware Bearing 16000 Series 16014 Size 70 mm ID 110 mm OD 13 mm Depth,hardware,bearing,16000_series,16014_size,70_mm_id_110_mm_od_13_mm_depth,,,
hardware_bearing_16000_series_16015_size_75_mm_id_115_mm_od_13_mm_depth,,Hardware Bearing 16000 Series 16015 Size 75 mm ID 115 mm OD 13 mm Depth,hardware,bearing,16000_series,16015_size,75_mm_id_115_mm_od_13_mm_depth,,,
hardware_bearing_16000_series_16016_size_80_mm_id_125_mm_od_14_mm_depth,,Hardware Bearing 16000 Series 16016 Size 80 mm ID 125 mm OD 14 mm Depth,hardware,bearing,16000_series,16016_size,80_mm_id_125_mm_od_14_mm_depth,,,
hardware_bearing_16000_series_16017_size_85_mm_id_130_mm_od_14_mm_depth,,Hardware Bearing 16000 Series 16017 Size 85 mm ID 130 mm OD 14 mm Depth,hardware,bearing,16000_series,16017_size,85_mm_id_130_mm_od_14_mm_depth,,,
hardware_bearing_16000_series_16018_size_90_mm_id_140_mm_od_16_mm_depth,,Hardware Bearing 16000 Series 16018 Size 90 mm ID 140 mm OD 16 mm Depth,hardware,bearing,16000_series,16018_size,90_mm_id_140_mm_od_16_mm_depth,,,
hardware_bearing_16000_series_16019_size_95_mm_id_145_mm_od_16_mm_depth,,Hardware Bearing 16000 Series 16019 Size 95 mm ID 145 mm OD 16 mm Depth,hardware,bearing,16000_series,16019_size,95_mm_id_145_mm_od_16_mm_depth,,,
hardware_bearing_16000_series_16020_size_100_mm_id_150_mm_od_16_mm_depth,,Hardware Bearing 16000 Series 16020 Size 100 mm ID 150 mm OD 16 mm Depth,hardware,bearing,16000_series,16020_size,100_mm_id_150_mm_od_16_mm_depth,,,
hardware_bearing_16000_series_16021_size_105_mm_id_160_mm_od_18_mm_depth,,Hardware Bearing 16000 Series 16021 Size 105 mm ID 160 mm OD 18 mm Depth,hardware,bearing,16000_series,16021_size,105_mm_id_160_mm_od_18_mm_depth,,,
hardware_bearing_16000_series_16022_size_110_mm_id_170_mm_od_19_mm_depth,,Hardware Bearing 16000 Series 16022 Size 110 mm ID 170 mm OD 19 mm Depth,hardware,bearing,16000_series,16022_size,110_mm_id_170_mm_od_19_mm_depth,,,
hardware_bearing_5200_series_5200_size_10_mm_id_30_mm_od_14_2_mm_depth,,Hardware Bearing 5200 Series 5200 Size 10 mm ID 30 mm OD 14 2 mm Depth,hardware,bearing,5200_series,5200_size,10_mm_id_30_mm_od_14_2_mm_depth,,,
hardware_bearing_5200_series_5201_size_12_mm_id_32_mm_od_15_8_mm_depth,,Hardware Bearing 5200 Series 5201 Size 12 mm ID 32 mm OD 15 8 mm Depth,hardware,bearing,5200_series,5201_size,12_mm_id_32_mm_od_15_8_mm_depth,,,
hardware_bearing_5200_series_5202_size_15_mm_id_35_mm_od_15_8_mm_depth,,Hardware Bearing 5200 Series 5202 Size 15 mm ID 35 mm OD 15 8 mm Depth,hardware,bearing,5200_series,5202_size,15_mm_id_35_mm_od_15_8_mm_depth,,,
hardware_bearing_5200_series_5203_size_17_mm_id_40_mm_od_17_4_mm_depth,,Hardware Bearing 5200 Series 5203 Size 17 mm ID 40 mm OD 17 4 mm Depth,hardware,bearing,5200_series,5203_size,17_mm_id_40_mm_od_17_4_mm_depth,,,
hardware_bearing_5200_series_5204_size_20_mm_id_47_mm_od_20_6_mm_depth,,Hardware Bearing 5200 Series 5204 Size 20 mm ID 47 mm OD 20 6 mm Depth,hardware,bearing,5200_series,5204_size,20_mm_id_47_mm_od_20_6_mm_depth,,,
hardware_bearing_5200_series_5205_size_25_mm_id_52_mm_od_20_6_mm_depth,,Hardware Bearing 5200 Series 5205 Size 25 mm ID 52 mm OD 20 6 mm Depth,hardware,bearing,5200_series,5205_size,25_mm_id_52_mm_od_20_6_mm_depth,,,
